Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2024-01-08,Breakfast,547.5,8.1,1.6,1.4,1.4,0.0,120.0,181.2,622.4,77.7,7.9,27.9,44.8,3.5,10.3,45.9,2.5,
2024-01-08,Dinner,743.6,20.7,3.1,0.0,0.0,0.0,0.0,1180.0,0.0,63.7,1.6,6.1,74.0,0.0,0.0,0.0,0.0,
2024-01-08,Lunch,580.5,28.9,10.9,0.8,1.0,0.0,57.6,213.1,211.2,48.7,7.3,20.9,38.2,2.0,20.0,2.4,3.5,
2024-01-09,Breakfast,690.0,17.2,2.5,3.8,5.5,0.0,120.0,81.8,622.4,82.6,5.4,21.9,52.8,3.5,10.3,30.9,2.5,
2024-01-09,Dinner,778.1,36.0,12.0,0.0,0.0,0.0,0.0,117.6,0.0,63.9,2.0,9.6,47.0,0.0,0.0,0.0,0.0,
2024-01-09,Lunch,664.5,16.8,2.7,0.0,0.0,0.0,0.0,1280.0,0.0,59.0,14.7,2.4,78.8,0.0,0.0,0.0,0.0,
2024-01-10,Breakfast,366.5,6.2,0.5,1.3,1.4,0.0,120.0,80.0,200.0,37.7,3.8,2.5,40.7,0.0,0.0,25.0,2.2,
2024-01-10,Dinner,633.0,19.0,2.5,1.0,1.8,0.0,186.0,121.8,548.5,80.6,6.0,7.4,39.4,219.0,88.0,6.8,8.4,
2024-01-10,Lunch,658.5,23.2,5.3,0.0,0.0,0.0,0.0,360.0,0.0,59.2,13.9,3.4,58.2,0.0,0.0,0.0,0.0,
2024-01-10,Snacks,459.6,14.5,1.9,0.0,1.8,0.0,0.0,396.0,0.0,73.3,0.6,3.9,6.4,0.0,0.0,0.0,0.0,
2024-01-11,Breakfast,246.0,3.2,0.0,0.0,0.0,0.0,120.0,84.0,200.0,17.1,1.5,11.6,36.9,0.0,0.4,25.0,2.2,
2024-01-11,Dinner,817.3,58.7,18.6,0.0,0.0,0.0,0.0,1540.0,2800.0,19.6,1.7,1.9,53.9,0.0,0.0,0.0,0.0,
2024-01-11,Lunch,547.0,27.5,9.2,0.0,0.0,0.0,0.0,84.3,0.0,46.2,3.8,1.6,30.6,0.0,0.0,0.0,0.0,
2024-01-11,Snacks,602.6,21.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,79.1,0.0,3.7,26.2,0.0,0.0,0.0,0.0,
2024-01-12,Breakfast,348.0,5.8,0.4,1.1,1.2,0.0,120.0,80.0,200.0,34.2,3.4,2.5,40.2,0.0,0.0,25.0,2.2,
2024-01-12,Dinner,1197.1,56.5,16.1,3.4,4.8,0.0,0.0,5595.2,0.0,109.6,23.1,13.1,74.9,0.0,0.0,0.0,0.0,
2024-01-12,Lunch,658.5,23.2,5.3,0.0,0.0,0.0,0.0,360.0,0.0,59.2,13.9,3.4,58.2,0.0,0.0,0.0,0.0,
2024-01-12,Snacks,233.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,
2024-01-13,Breakfast,490.0,14.2,2.5,3.8,5.5,0.0,0.0,1.8,422.4,76.6,5.4,19.9,16.8,3.5,10.3,5.9,0.3,
2024-01-13,Dinner,1184.0,50.0,18.8,0.0,0.0,0.0,0.0,7.2,0.0,130.0,0.0,10.4,54.0,0.0,0.0,0.0,0.0,
2024-01-13,Lunch,388.0,18.0,4.6,0.0,0.0,0.0,0.0,360.0,0.0,8.8,0.8,3.4,48.2,0.0,0.0,0.0,0.0,
2024-01-13,Snacks,362.7,5.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,64.8,1.6,61.1,15.2,0.0,0.0,0.0,0.0,
2024-01-14,Breakfast,305.0,3.4,0.1,0.1,0.0,0.0,120.0,81.2,622.4,33.0,3.1,16.4,37.3,3.5,10.3,30.9,2.5,
2024-01-15,Breakfast,453.0,6.2,0.5,1.2,1.2,0.0,120.0,81.2,622.4,61.2,6.5,16.9,41.5,3.5,10.3,30.9,2.5,
2024-01-15,Dinner,890.1,64.1,2.2,0.0,0.0,0.0,0.0,50.6,479.5,32.6,4.8,8.9,51.3,219.0,88.0,4.0,3.5,
2024-01-15,Lunch,892.0,60.4,23.6,0.0,0.0,0.0,0.0,2760.0,0.0,12.0,0.0,2.0,74.4,0.0,0.0,0.0,0.0,
2024-01-15,Snacks,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,
2024-01-16,Breakfast,490.0,6.9,0.6,1.5,1.5,0.0,120.0,81.2,622.4,68.2,7.3,17.0,42.5,3.5,10.3,30.9,2.5,
2024-01-16,Dinner,381.7,14.6,5.7,0.0,0.0,0.0,0.0,520.0,0.0,44.8,2.4,3.5,18.1,0.0,0.0,0.0,0.0,
